_id,objectid,fld_ar_id,fld_zone,floodway,sfha_tf,static_bfe,v_datum,depth,len_unit,velocity,vel_unit,ar_revert,bfe_revert,dep_revert,source_cit,global_id,shape_length,shape_area
5265,208,3789,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,8d9d2e6b-394f-44b3-8d01-c6a334a5ba56,35416.6622263236,361242.53125
5266,212,2595,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,4b62d9d6-8f1a-4e68-a4e6-15b1e2b1e835,252.582572150939,1604.078125
5267,213,2611,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,c7f089d7-4a25-464b-bd25-bf58272a44d0,14756.2675591242,364476.09375
5268,216,2718,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,29d01a0b-e01f-43cf-9d6b-b7b197426b8d,1021.41583252056,1512.625
5269,217,2719,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,62812a2c-e267-4fc5-b0cb-99267f137776,1390.44425418202,2818.98046875
5270,220,4086,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,f15d787a-7ed4-4aaa-b59f-00647ede00f6,3109.75524134175,16721.390625
5271,222,4146,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,37bfc7a7-b48b-4b74-a145-c96d27195887,115521.980831993,15158941.578125
5272,224,3927,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,ea6c102a-0869-4f37-b85f-6dfab9eddf70,521.364705208831,2145.8671875
5273,225,3928,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,683e231a-f63f-4adf-9200-275478a8f962,10052.0746326875,273336.48828125
5274,227,4083,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,332853b7-afa7-43f8-8564-737b3d70d340,1765.07422260868,17553.38671875
5275,228,4084,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,dd9cc32e-8b7c-4f4e-9628-6b01c8cf049f,5772.94966405799,41060.2890625
